age_unscaled,decile_score_unscaled,priors_count_unscaled,sex_Female_unscaled,sex_Male_unscaled,race_African-American_unscaled,race_Asian_unscaled,race_Caucasian_unscaled,race_Hispanic_unscaled,race_Native American_unscaled,race_Other_unscaled,age_scaled,decile_score_scaled,priors_count_scaled,sex_Female_scaled,sex_Male_scaled,race_African-American_scaled,race_Asian_scaled,race_Caucasian_scaled,race_Hispanic_scaled,race_Native American_scaled,race_Other_scaled,predicted_class,true_class,errors,TP,TN,FN,FP,Error_Type,sex,race,Shap_age_basicscaled,Shap_decile_score_basicscaled,Shap_priors_count_basicscaled,Shap_sex_Female_basicscaled,Shap_sex_Male_basicscaled,Shap_race_African-American_basicscaled,Shap_race_Asian_basicscaled,Shap_race_Caucasian_basicscaled,Shap_race_Hispanic_basicscaled,Shap_race_Native American_basicscaled,Shap_race_Other_basicscaled
24.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9099851826666838,0.17170914527783263,-0.09676267992950852,-0.4896242566497053,0.4896242566497053,-1.0249863072616656,-0.06675015657623451,1.3927276480161124,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,1.0,1.0,0.0,1.0,0.0,0.0,0.0,TP,Male,Caucasian,-0.12573998638581543,-0.11969028067029285,-0.08568981608808826,0.005168779555096989,0.0036660655302694065,-0.00935842188409879,0.0,-0.008082616277242778,0.0019332182315702085,0.0009833333478309215,-0.0011999840677890462
50.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.277076244040994,-1.2287541379717832,-0.5064140725418763,-0.4896242566497053,0.4896242566497053,-1.0249863072616656,-0.06675015657623451,1.3927276480161124,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TN,Male,Caucasian,-0.14136688589322147,-0.18536524997231027,-0.1209962414160691,-0.006097275928732415,-0.006423130906332517,-0.0031671768493106356,0.0,0.0014358107777661644,0.004179772978532128,0.0005886111233849078,0.0007020555962662912
25.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.8258674354856193,-0.5285224963469753,-0.3015883762356924,2.0423824727201687,-2.042382472720169,-1.0249863072616656,-0.06675015657623451,1.3927276480161124,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,0.0,1.0,1.0,0.0,0.0,1.0,0.0,FN,Female,Caucasian,-0.011531394311932673,0.027950214587654044,-0.1570437317658798,-0.1238689575470562,-0.12359922447452845,-0.019202484781999374,0.0,-0.018325977954809787,-0.0021257794101256877,0.0002953472387162037,0.0009422790154349059
31.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.32116095239923215,0.8719407869026405,-0.7112397688480602,-0.4896242566497053,0.4896242566497053,0.9756227892171374,-0.06675015657623451,-0.7180154723175505,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TN,Male,African-American,-0.06974135710141127,-0.1462661887246577,-0.04378465150130069,0.006643752273012069,0.0026148859503155107,-0.036200460014733836,0.0,-0.07037112235648238,0.0008042030179785798,0.0009276388955186121,-0.0011364086545654572
42.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6041342665924777,0.17170914527783263,-0.09676267992950852,2.0423824727201687,-2.042382472720169,-1.0249863072616656,-0.06675015657623451,1.3927276480161124,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TN,Female,Caucasian,-0.13996466398752092,-0.1379338084050869,-0.12516538172458241,-0.007966318068392866,-0.006671877394401235,-0.002478035986714531,0.0,0.000492126056124107,0.0015664600144373252,0.0004250000120373443,0.001186782446638972
37.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18354553068715504,-1.2287541379717832,-0.7112397688480602,2.0423824727201687,-2.042382472720169,0.9756227892171374,-0.06675015657623451,-0.7180154723175505,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TN,Female,African-American,-0.05722824852426129,-0.1761656503065751,-0.1679654302221752,0.0044812040691613216,0.0033411452127802476,-0.007474249992374098,0.0,-0.002647401313734008,-0.0006440941286564339,0.0007127381123427768,0.002913607306909398
33.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.15292545803710308,-1.2287541379717832,-0.5064140725418763,-0.4896242566497053,0.4896242566497053,0.9756227892171374,-0.06675015657623451,-0.7180154723175505,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,1.0,1.0,0.0,1.0,0.0,0.0,0.0,TP,Male,African-American,-0.037292322369939936,-0.1103160730732634,-0.17247806780078462,-0.04079711257350937,-0.02381996704152698,0.016754327053386076,0.0,0.020476289449998148,-0.0014523718290729449,0.0005017420781950932,0.0019138426574681943
34.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.06880771085603854,0.5218249660902365,-0.5064140725418763,-0.4896242566497053,0.4896242566497053,-1.0249863072616656,-0.06675015657623451,1.3927276480161124,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,1.0,0.0,1.0,0.0,0.0,0.0,1.0,FP,Male,Caucasian,-0.025507672578696655,0.1269279698873288,-0.008739416039443313,-0.06689192335521511,-0.05716815320749447,-0.01835325414504041,0.0,-0.009875535429891898,0.000539528823173896,0.0007738214378332487,0.0017849182516511063
35.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015310036325025984,-0.8786383171593792,-0.7112397688480602,2.0423824727201687,-2.042382472720169,-1.0249863072616656,-0.06675015657623451,-0.7180154723175505,3.2132476956394416,-0.05001389467860642,-0.2348215147223741,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TN,Female,Hispanic,-0.011092951794562395,0.1001452063209581,0.17537513801507884,0.010776245654269587,0.012353150627168361,-0.01174392128465115,0.0,-0.045043714059866034,0.001605136928119464,0.0008875000098487362,0.00022849112399853767
67.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.707077946119091,-1.2287541379717832,-0.3015883762356924,-0.4896242566497053,0.4896242566497053,-1.0249863072616656,-0.06675015657623451,1.3927276480161124,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,1.0,1.0,0.0,1.0,0.0,0.0,0.0,TP,Male,Caucasian,0.019492179083263183,0.05560648202681477,0.12513469519988576,0.009244231979137112,0.015835146648460068,0.025729410653657397,0.0,0.02919385959550709,0.0026535860542207957,0.0008456944505451247,-0.0002450013113411842
